alongside, [ə`lɔŋ`saɪd] adv.prep.並排(地)
anticipate, [æ n`tɪsə͵pet] vt.預期
accordingly, [ə`kɔrdɪŋlɪ] adv.因此
anticipation, [æn͵tɪsə`peʃən] n.期望
accountable, [ə`kaʊntəb!] adj.負責任的
antonym, [`æ ntə͵nɪm] n.反義字
accounting, [ə`kaʊntɪŋ] n.會計
applicable, [`æ plɪkəb!] adj.適用的
accumulate, [ə`kjumjə͵let] vt.vi.累積
apprentice, [ə`prɛntɪs] n.學徒
accumulation, [ə͵kjumjə`leʃən] n.累積
approximate, [ə`prɑksəmɪt] adj.大約的
accusation, [͵ækjə`zeʃən] n.控訴
aptitude, [`æ ptə͵tjud] n.天賦
acquisition, [͵ækwə`zɪʃən] n.獲得
Arctic, [`ɑrktɪk] n.adj.北極(的)(大寫)
arctic, [`ɑrktɪk] n.adj.北極(的)(小寫)
activist, [`æ ktəvɪst] n.激進份子；活動家
arrogant, [`æ rəgənt] adj.傲慢的
acute, [ə`kjut] adj.急性的 (chronic)
artery, [`ɑrtərɪ] n.動脈；幹線
adaptation, [͵ædæp`teʃən] n.適應
articulate, [ɑr`tɪkjə͵let] adj.口齒清晰的 vt.vi.發音清晰
addict, [əˋdɪkt] vt.使…沉迷
addict, [`æ dɪkt] n.入迷的人；上癮者
artifact, [`ɑrtɪ͵fæ kt] n.人工製品；手工藝品
addiction, [ə`dɪkʃən] n.濫用；上癮
assassinate, [ə`sæ sɪn͵et] vt.暗殺
administer, [əd`mɪnəstɚ] vt.管理
administrate,  [əd`mɪnə͵stret] vt.管理
assert, [ə`sɝt] vt.斷言
assess, [ə`sɛs] vt.評估
administration, [əd͵mɪnə`streʃən] n.管理
assessment, [ə`sɛsmənt] n.評估
administrative, [əd`mɪnə͵stretɪv] adj.管理上的；行政的
assumption, [ə`sʌmpʃən] n.假定
asthma, [`æ zmə] n.氣喘
administrator, [əd`mɪnə͵stretɚ] n.管理者
asylum, [ə`saɪləm] n.政治庇護
advocate, [ˋædvə͵ket] vt.提倡
advocate, [`æ dvəkɪt] n.提倡者
attainment, [ə`ten] vt.vi.到達
attainment, [ə`tenmənt] n.到達
affectionate, [ə`fɛkʃənɪt] adj.充滿感情的
attendant, [ə`tɛndənt] n.接待員
affirm, [ə`fɝm] vt.vi.斷言
attic, [`æ tɪk] n.閣樓
aggression, [ə`grɛʃən] n.侵略
auction, [`ɔkʃən] n.vt.拍賣
alcoholic, [͵ælkə`hɔlɪk] adj.酒精的
authentic, [ɔ`θɛntɪk] adj.真實的
alienate, [èljən͵et] vt.使…疏遠
authorize, [`ɔθə͵raɪz] vt.授權
alliance, [ə`laɪəns] n.同盟
allocate, [`æ lə͵ket] vt.分配
autograph, [`ɔtə͵græ f] n.簽名
signature, [`sɪgnətʃɚ] n.簽名
cater, [`ketɚ] vi.承辦宴席；迎合(需求)
autonomy, [ɔ`tɑnəmɪ] n.自治
cavalry, [`kæ v!rɪ] n.騎兵
aviation, [͵evɪèʃən] n.飛行
cavity, [ˋkævətɪ] n.穴；(牙的)蛀洞
awesome, [`ɔsəm] adj.令人敬畏的
cemetery, [`sɛmə͵tɛrɪ] n.墓地
barometer, [bə`rɑmətɚ] n.氣壓計
certainty, [`sɝtəntɪ] n.確實
beckon, [`bɛkn] vt.vi.n.示意
certify, [`sɝtə͵faɪ] vt.vi.證明
besiege, [bɪ`sidʒ] vt.包圍
champagne, [ʃæ m`pen] n.香檳酒
betray, [bɪ`tre] vt.背叛
chaos, [`keɑs] n.混亂
beverage, [`bɛvərɪdʒ] n.飲料
characterize, [kæ rəktə͵raɪz] vt.具有...的特徵
bias, [`baɪəs] n.vt.(使有)偏見
coal, [kol] n.媒，木炭
binoculars, [bɪ`nɑkjəlɚs] n.雙筒望遠鏡
chariot, [`tʃæ rɪət] n.(古代)雙輪戰車
biochemistry, [`baɪòkɛmɪstrɪ] n.生物化學
charitable, [`tʃæ rətəb!] adj.慈善的
biological, [͵baɪə`lɑdʒɪk!] adj.生物的
cholesterol, [kə`lɛstə͵rol] n.膽固醇
bizarre, [bɪ`zɑr] adj.怪異的
chronic, [`krɑnɪk] adj.(病)慢性的 (acute)
bleak, [blik] adj.荒涼的
chuckle, [`tʃʌk!] vi.咯咯地笑
blunder, [`blʌndɚ] n.vi.vt.犯錯
chunk, [tʃʌŋk] n.大塊；厚片
blunt, [blʌnt] adj.鈍的
civilize, [`sɪvə͵laɪz] v.使文明
bombard, [bɑm`bɑrd] vt.砲轟
clamp, [klæ mp] v.鉗緊
bondage, [`bɑndɪdʒ] n.奴役；束縛
clarity, [`klæ rətɪ] n.明晰
boost, [bust] n.vt.促進；提高
cleanse, [klɛnz] vt.使清潔；淨化
bout, [baʊt] n.回合
clearance, [`klɪrəns] n.清除；空地
boycott, [`bɔɪ͵kɑt] vt.n.抵制
clench, [klɛntʃ] vt.捏緊
breakdown, [`brek͵daʊn] n.故障
clinical, [`klɪnɪk!] adj.臨床的
breakthrough, [`brek͵θru] n.突破
clone, [klon] n.複製品/人
breakup, [`brek`ʌp] n.瓦解；分手
closure, [`kloʒɚ] n.關閉；終止
brew, [bru] vt.vi.n.釀造；沖泡
coffin, [`kɔfɪn] n.棺材
brink, [brɪŋk] n.邊緣
coherent, [kòhɪrənt] adj.連貫的
brisk, [brɪsk] adj.活潑的
coincide, [͵koɪn`saɪd] vi.同時發生
brochure, [bròʃʊr] n.小冊子
coincidence, [kòɪnsɪdəns] n.巧合
brute, [brut] n.獸；畜生 adj.畜生的；蠻橫的
collective, [kə`lɛktɪv] adj.集體的
buckle, [`bʌk!] n.扣環 vt.vi.扣住
collector, [kə`lɛktɚ] n.收集者
bulky, [`bʌlkɪ] adj.笨重的
collide, [kə`laɪd] vi.碰撞；衝突
bureaucracy, [bjʊ`rɑkrəsɪ] n.官僚
collision, [kə`lɪʒən] n.碰撞；衝突
burial, [`bɛrɪəl] n.adj.葬禮(的)
colloquial, [kə`lokwɪəl] adj.口語的
byte, [baɪt] n.位元組
columnist, [`kɑləmɪst] n.專欄作家
caffeine, [`kæ fiɪn] n.咖啡因
commemorate, [kə`mɛmə͵ret] vt.紀念
calcium, [`kæ lsɪəm] n.鈣
commence, [kə`mɛns] vt.開始
canvas, [`kæ nvəs] n.帆布
commentary, [`kɑmən͵tɛrɪ] n.評論
capability, [͵kepə`bɪlətɪ] n.能力
commitment, [kə`mɪtmənt] n.承諾
capsule, [`kæ ps!] n.膠囊
communicative, [kə`mjunə͵ketɪv] adj.暢談的
caption, [`kæ pʃən] n.標題；字幕
companionship, [kəm`pæ njən͵ʃɪp] n.伴侶關係
captive, [`kæ ptɪv] n.俘虜
comparable, [`kɑmpərəb!] adj.可比較的；比得上的
captivity, [kæ p`tɪvətɪ] n.囚禁
carbohydrate, [͵kɑrbə`haɪdret] n.碳水化合物
comparative, [kəm`pæ rətɪv] adj.比較的
caress, [kə`rɛs] n.vt.愛撫
compatible, [kəm`pæ təb!] adj.相容的
carol, [`kæ rəl] n.(耶誕)頌歌
compensate, [`kɑmpən͵set] vt.補償
cashier, [kæ `ʃɪr] n.出納；出納員
compensation, [͵kɑmpən`seʃən] n.補償(金)
casualty, [`kæ ʒjʊəltɪ] n.傷亡人員
competence, [`kɑmpətəns] n.勝任
catastrophe, [kə`tæ strəfɪ] n.大災難
competent, [`kɑmpətənt] adj.能幹的
compile, [kəm`paɪl] vt.編輯
cosmetics, [kɑz`mɛtɪks] n.化妝品
complement, [`kɑmpləmənt] n.補充物
cosmopolitan, [͵kɑzmə`pɑlətn] adj.世界性的
complexion, [kəm`plɛkʃən] n.面色
counterpart, [`kaʊntɚ͵pɑrt] n.對應的人(或物)
complexity, [kəm`plɛksətɪ] n.複雜(性)
coverage, [`kʌvərɪdʒ] n.覆蓋範圍
complication, [͵kɑmplə`keʃən] n.複雜(化)；併發症[C]
covet, [`kʌvɪt] vt.垂涎；貪圖
cramp, [kræ mp] n.夾鉗；束縛；抽筋 vt.限制
component, [kəm`ponənt] n.零件；成分
credibility, [͵krɛdə`bɪlətɪ] n.可信度
comprehensive, [͵kɑmprɪ`hɛnsɪv] adj.無所不包的；有理解力的
credible, [`krɛdəb!] adj.可信的
criterion, [kraɪ`tɪrɪən] n.標準；準則
comprise, [kəm`praɪz] vt.包括
crook, [krʊk] vt.vi.n.彎曲；成鉤形
concede, [kən`sid] vt.(勉強)承認
crooked, [`krʊkɪd] adj.歪的；彎曲的；詐欺的
conceit, [kən`sit] n.自滿
crucial, [`kruʃəl] adj.決定性的
conception, [kən`sɛpʃən] n.觀念；創始
crude, [krud] adj.天然的；生的
concession, [kən`sɛʃən] n.讓步；租界
cruise, [kruz] vt.vi.n.巡航；航遊
concise, [kən`saɪs] adj.簡明的
cruiser, [`kruzɚ] n.遊艇
condense, [kən`dɛns] vt.壓縮；濃縮
crumb, [krʌm] n.麵包屑
confer, [kən`fɝ] vt.授予(學位等)
confidential, [͵kɑnfə`dɛnʃəl] adj.機密的
crumble, [`krʌmb!] vt.vi.粉碎；崩潰
crust, [krʌst] n.派餅皮；地殼
conform, [kən`fɔrm] vi.遵守；符合
confrontation, [͵kɑnfrʌn`teʃən] n.對抗
cultivate, [`kʌltə͵vet] vt.培育
cumulative, [`kjʊmjʊ͵letɪv] adj.累計的
congressman, [`kɑŋgrəsmən] n.美國國會議員
customary, [`kʌstəm͵ɛrɪ] adj.合乎習俗的；按慣例的
conquest, [`kɑŋkwɛst] n.征服
daffodil, [`dæ fədɪl] n.黃水仙
conscientious, [͵kɑnʃɪ`ɛnʃəs] adj.憑良心的
dandruff, [`dæ ndrəf] n.頭皮屑
consensus, [kən`sɛnsəs] n.一致；合意
daybreak, [`de͵brek] n.黎明
conservation, [͵kɑnsɚ`veʃən] n.保育
deadly, [`dɛdlɪ] adj.致命的
consolation, [͵kɑnsə`leʃən] n.安慰
decent, [`disnt] adj.正派的；體面的
conspiracy, [kən`spɪrəsɪ] n.陰謀
decisive, [dɪ`saɪsɪv] adj.決定性的；果決的
constituent, [kən`stɪtʃʊənt] adj.組成的 n.選民，選舉人
decline, [dɪ`klaɪn] vi.n.下降；婉拒 vt.婉拒
dedicate, [`dɛdə͵ket] vt.奉獻
consultation, [͵kɑnsəl`teʃən] n.諮詢
dedication, [͵dɛdə`keʃən] n.奉獻；致力
consumption, [kən`sʌmpʃən] n.消耗
deem, [dim] v.認為
contemplation, [͵kɑntɛm`pleʃən] n.沈思
defect, [`dɪfɛkt] n.缺點；缺陷
contestant, [kən`tɛstənt] n.競爭者；角逐者
deficiency, [dɪ`fɪʃənsɪ] n.不足
contractor, [`kɑntræ ktɚ] n.承包商
degrade, [dɪ`gred] vt.使降級
contradict, [͵kɑntrə`dɪkt] vt.與...矛盾
deliberate, [dɪ`lɪbərɪt] adj.深思熟慮的；蓄意的 vt.vi.仔細思考
contradiction, [͵kɑntrə`dɪkʃən] n.矛盾
controversial, [͵kɑntrə`vɝʃəl] adj.可疑的
delinquent, [dɪ`lɪŋkwənt] adj.有過失的
controversy, [`kɑntrə͵vɝsɪ] n.爭議
denounce, [dɪ`naʊns] vt.譴責
conviction, [kən`vɪkʃən] n.定罪；信念
density, [`dɛnsətɪ] n.密集(度)
coordinate, [kòɔrdnɪt] vt.協調
dental, [`dɛnt!] adj.牙齒的
cordial, [`kɔrdʒəl] adj.熱忱的
depict, [dɪ`pɪkt] vt.描畫
core, [kor] n.果核；核心
deprive, [dɪ`praɪv] vt.剝奪
corporate, [`kɔrpərɪt] adj.公司的；團體的
deputy, [`dɛpjətɪ] n.adj.副手(的)；代理人(的)
corps, [kɔr] n.兵團；軍；隊
derive, [dɪ`raɪv] vt.取得 vi.衍生
corpse, [kɔrps] n.屍體
descend, [dɪ`sɛnd] vi.vt.下來；走下
correspondent, [͵kɔrɪ`spɑndənt] n.通信者 adj.一致的；符合的
descendant, [dɪ`sɛndənt] n.後裔
descent, [dɪ`sɛnt] n.下降；世系
corruption, [kə`rʌpʃən] n.腐化；貪污
designate, [`dɛzɪg͵net] vt.指定
cosmetic, [kɑz`mɛtɪk] adj.化妝用的
destined, [`dɛstɪnd] adj.命中注定的
dissuade, [dɪ`swed] vt.勸阻
detach, [dɪ`tæ tʃ] vt.分開；分離
distort, [dɪs`tɔrt] vt.扭曲；曲解
detain, [dɪ`ten] vt.拘留；扣留
distract, [dɪ`stræ kt] vt.使分心；困擾
deter, [dɪ`tɝ] vt.威懾住；嚇住；制止
distraction, [dɪ`stræ kʃən] n.分心
detergent, [dɪ`tɝdʒənt] n.洗潔劑
distrust, [dɪs`trʌst] vt.n.不信任；懷疑
deteriorate, [dɪ`tɪrɪə͵ret] vi.vt.(使)惡化
disturbance, [dɪs`tɝbəns] n.擾亂；打擾
devalue, [ˌdɪˈvæ lju] vt.降低...的價值
diverse, [daɪ`vɝs] adj.不同的；多元的
diabetes, [͵daɪə`bitiz] n.糖尿病
diversify, [daɪ`vɝsə͵faɪ] vt.vi.使多樣化
diagnose, [`daɪəgnoz] vt.診斷
diversion, [daɪ`vɝʒən] n.轉移；分散注意力；娛樂
diagnosis, [͵daɪəg`nosɪs] n.診斷(結果)
diagram, [`daɪə͵græ m] n.圖表；圖解
diversity, [daɪ`vɝsətɪ] n.差異；多樣性
diameter, [daɪ`æ mətɚ] n.直徑
divert, [daɪ`vɝt] vt.vi.轉移；使分心
dictate, [`dɪktet] vt.vi.口授；命令
doctrine, [`dɑktrɪn] n.教義；信條
dictation, [dɪk`teʃən] n.聽寫；命令
documentary, [͵dɑkjə`mɛntərɪ] adj.n.文件的；記錄影片
dictator, [`dɪk͵tetɚ] n.獨裁者
differentiate, [͵dɪfə`rɛnʃɪ͵et] vt.vi.區別
dome, [dom] n.圓屋頂
dilemma, [də`lɛmə] n.進退兩難
donate, [`donet] vt.捐贈
dimension, [dɪ`mɛnʃən] n.尺寸；面積；面向
donation, [dòneʃən] n.捐贈(物)
diminish, [də`mɪnɪʃ] vt.vi.減少；失勢
donor, [`donɚ] n.捐贈者
diplomacy, [dɪ`ploməsɪ] n.外交(手腕)
doom, [dum] n.厄運；毀滅
diplomatic, [͵dɪplə`mæ tɪk] adj.外交的
dosage, [`dosɪdʒ] n.(藥)劑量；服法
directory, [də`rɛktərɪ] n.電話號碼簿；使用手冊
drastic, [`dræ stɪk] adj.猛烈的
disability, [dɪsə`bɪlətɪ] n.無能；殘障
drawback, [`drɔ͵bæ k] n.缺點；短處
disable, [dɪsèb!] vt.使失去能力
dreary, [`drɪərɪ] adj.陰鬱的
disapprove, [͵dɪsə`pruv] vt.vi.不贊同
drizzle, [`drɪz!] vi.n.(下)毛毛雨
disastrous, [dɪz`æ strəs] adj.災難的
drought, [draʊt] n.乾旱
discharge, [dɪs`tʃɑrdʒ] vt.vi..n排出(液體、 氣體等)；釋放；解雇
dual, [`djuəl] adj.雙的
dubious, [`djubɪəs] adj.(對事物)半信半疑的；曖昧的；含糊的
disciplinary, [`dɪsəplɪn͵ɛrɪ] adj.紀律的
disclose, [dɪs`kloz] vt.揭發；透露
dynamite, [`daɪnə͵maɪt] n.炸藥
disclosure, [dɪs`kloʒɚ] n.揭發；透露
ebb, [ɛb] n.vi.退潮；衰落
discomfort, [dɪs`kʌmfɚt] n.不舒適
eccentric, [ɪk`sɛntrɪk] adj.古怪的
discreet, [dɪ`skrit] adj.謹慎的
ecology, [ɪ`kɑlədʒɪ] n.生態學
discrimination, [dɪ͵skrɪmə`neʃən] n.辨別
ecstasy, [`ɛkstəsɪ] n.狂喜；迷幻藥
disgrace, [dɪs`gres] n.vt.(使…)丟臉
edible, [`ɛdəb!] adj.可食的
disgraceful, [dɪs`gresfəl] adj.不名譽的
editorial, [͵ɛdə`tɔrɪəl] adj.n.編輯(上)的；(報刊的)社論
dismantle, [dɪs`mæ nt!] vt.拆卸
dismay, [dɪs`me] n.驚慌；沮喪
electron, [ɪ`lɛktrɑn] n.電子
dispatch, [dɪ`spæ tʃ] vt.n.派遣；發送
eligible, [`ɛlɪdʒəb!] adj.有資格當選的；法律上合格的
dispensable, [dɪ`spɛnsəb!] adj.非必要的
disperse, [dɪ`spɝs] vt.vi.驅散
elite, [ ɪ`lit] n.精英
displace, [dɪs`ples] vt.(從原地)移開
eloquence, [`ɛləkwəns] n.雄辯；口才
displease, [dɪs`pliz] vt.vi.使人不高興
eloquent, [`ɛləkwənt] adj.雄辯的
disposable, [dɪ`spozəb!] adj.可任意處理的；用完即丟棄的
embark, [ɪm`bɑrk] vi.上船(或飛機等)；著手
emigrant, [`ɛməgrənt] adj.n.移民(的)
disposal, [dɪ`spoz!] n.處理
emigrate, [`ɛmə͵gret] vi.移居外國(或外地)
disregard, [͵dɪsrɪ`gɑrd] vt.n.不顧；漠視
emigration, [͵ɛmə`greʃən] n.移居
dissident, [`dɪsədənt] adj.n.意見不同的(人)
emphatic, [ɪm`fæ tɪk] adj.強調的
dissolve, [dɪ`zɑlv] vt.vi.分解；解散
enact, [ɪn`æ kt] vt.制定(法律)；扮演(角色)
enactment, [ɪn`æ ktmənt] n.制定(法律)；扮演(角色)
faction, [`fæ kʃən] n.派系；小集團
enclosure, [ɪn`kloʒɚ] n.圍住；圈地
faculty, [`fæ k!tɪ] n.全體教職員
encyclopedia, [ɪn͵saɪklə`pidɪə] n.百科全書
familiarity, [fə͵mɪlɪ`æ rətɪ] n.熟悉；親近
endurance, [ɪn`djʊrəns] n.耐久力
famine, [`fæ mɪn] n.饑荒
enhance, [ɪn`hæ ns] vt.增加(價值、吸引力等)
fascination, [͵fæsnèʃən] n.魅力；迷戀
enhancement, [ɪn`hæ nsmənt] n.增加(價值、吸引力等)
feasible, [`fizəb!] adj.可實行的
enlighten, [ɪn`laɪtn] vt.啟發；教導
federation, [͵fɛdə`reʃən] n.聯邦政府
enlightenment, [ɪn`laɪtnmənt] n.啟發；教導
feedback, [`fid͵bæk] n.反饋；回饋
enrich, [ɪn`rɪtʃ] vt.使豐富
fertility, [fɝ`tɪlətɪ] n.肥沃；繁殖力
enrichment, [ɪn`rɪtʃmənt] n.豐富
fidelity, [fɪ`dɛlətɪ] n.忠貞
epidemic, [͵ɛpɪ`dɛmɪk] adj.n.傳染病(的)
finite, [`faɪnaɪt] adj.有限的
episode, [`ɛpə͵sod] n.(整個事情中的)一個事件；插曲；一集
fireproof, [`faɪr`pruf] adj.防火的
flare, [flɛr] vi.vt.(火焰)閃耀
emotional quotient, [ɪ`moʃən!] [`kwoʃənt] phr.情感商數
fleet, [flit] n.艦隊
flicker, [`flɪkɚ] vi.閃爍；搖曳
emotional intelligence, [ɪ`moʃən!] [ɪn`tɛlədʒəns] (phr.) 情緒智商
fling, [flɪŋ] vt.vi.n.(用力地)扔；擲
fluid, [`fluɪd] adj.n.流體的；液體
equation, [ɪ`kweʃən] n.方程式；平衡
flutter, [`flʌtɚ] vi.(鳥)振翼；飄揚
equivalent, [ɪ`kwɪvələnt] adj.n.相等的；相等物 foresee [for`si] vt.預見；預知
erode, [ɪ`rod] vt.侵蝕；磨損
formidable, [`fɔrmɪdəb!] adj.可怕的；難克服的
eruption, [ɪ`rʌpʃən] n.爆發
formulate, [`fɔrmjə͵let] vt.使公式化
escalate, [`ɛskə͵let] vt.使逐步上升
forsake, [fɚ`sek] vt.遺棄；背棄
essence, [`ɛsns] n.本質；精華
forthcoming, [͵forθ`kʌmɪŋ] adj.即將到來的；隨時可得的
eternity, [ɪ`tɝnətɪ] n.永恆；不朽
ethical, [`ɛθɪk!] adj.倫理的
fortify, [`fɔrtə͵faɪ] vt.加強；支持
ethnic, [`ɛθnɪk] adj.種族(上)的
foster, [`fɔstɚ] vt.adj.養育；收養的
evacuate, [ɪ`væ kjʊ͵et] vt.撤離；疏散
fracture, [`fræ ktʃɚ] (n.) 斷裂；骨折
evolution, [͵ɛvə`luʃən] n.進化
fragile, [`fræ dʒəl] adj.易碎的；脆弱的
evolve, [ɪ`vɑlv] vt.進化；形成
fragment, [`fræ gmənt] n.vt.vi.(成)碎片
excerpt, [ɪk`sɝpt] n.摘錄
frail, [frel] adj.虛弱的
excessive, [ɪk`sɛsɪv] adj.過度的
fraud, [frɔd] n.詐騙(行為)；騙子
exclusive, [ɪk`sklusɪv] adj.獨佔的；排他的
freak, [frik] n.怪誕的行動；畸形的人
execution, [͵ɛksɪ`kjuʃən] n.執行；死刑
fret, [frɛt] vt.vi.使苦惱；煩躁
exert, [ɪg`zɝt] vt.盡(力)；運用
friction, [`frɪkʃən] n.摩擦(力)
exotic, [ɛg`zɑtɪk] adj.異國情調的
galaxy, [`gæ ləksɪ] n.銀河
expedition, [͵ɛkspɪ`dɪʃən] n.遠征；探險
generalize, [`dʒɛnərəl͵aɪz] vi.vt.泛論；歸納
expel, [ɪk`spɛl] vt.驅逐；開除
generate, [`dʒɛnə͵ret] vt.產生；引起
expertise, [͵ɛkspɚ`tiz] n.專門技術
generator, [`dʒɛnə͵retɚ] n.發電機
expiration, [͵ɛkspə`reʃən] n.終結；期滿
genetic, [dʒə`nɛtɪk] adj.起源的；基因的
expire, [ɪk`spaɪr] vi.滿期；屆
genetics, [dʒə`nɛtɪks] n.遺傳學(單)
explicit, [ɪk`splɪsɪt] adj.詳盡的
glamour, [`glæ mɚ] n.魅力；妖豔
exploit, [ɪk`splɔɪt] n.功績；功勳
glassware, [`glæs͵wɛr] n.玻璃器皿
exploration, [͵ɛksplə`reʃən] n.探索
glisten, [`glɪsn] vi.n.閃耀；閃光
exquisite, [`ɛkskwɪzɪt] adj.精緻的
gloomy, [`glumɪ] adj.陰鬱的
extract, [ɪk`stræ kt] vt.抽出；提煉
genetically modified organism, [dʒə`nɛtɪk!ɪ][`mɑdə͵faɪd][`ɔrgən͵ɪzəm] n.基因改造生物
extracurricular, [͵ɛkstrəkə`rɪkjəlɚ] adj.課外的 
eyesight, [àɪ͵saɪt] n.視力；視野
fabulous, [`fæ bjələs] adj.驚人的；極好的
graph, [græ f] n.圖表；圖解
facilitate, [fə`sɪlə͵tet] vt.促進；幫助
graphic, [`græ fɪk] adj.寫實的；圖解的
grill, [grɪl] n.烤架 vt.vi.烤
inevitable, [ɪn`ɛvətəb!] adj.不可避免的
grocer, [`grosɚ] n.食品雜貨商
infectious, [ɪn`fɛkʃəs] adj.傳染性的
grope, [grop] vi.vt.摸索
infer, [ɪn`fɝ] vt.vi.推論；意味著…
guerrilla, [gəˈrɪlə] n.游擊戰(隊員)
inference, [`ɪnfərəns] n.推論
habitat, [`hæ bə͵tæ t] n.棲息地
ingenious, [ɪn`dʒinjəs] adj.巧妙的；心靈手巧的；足智多謀的
hack, [hæ k] vt.vi.n.劈；砍
hacker, [hæ kɚ] n.駭客
ingenuity, [͵ɪndʒə`nuətɪ] n.足智多謀；巧妙；精巧的裝置
hail, [hel] n.冰雹
harass, [`hæ rəs] vt.使…煩惱；騷擾
inhabit, [ɪn`hæ bɪt] vt.棲息於…
harassment, [`hæ rəsmənt] n.煩惱；騷擾
inhabitant, [ɪn`hæ bətənt] n.居民；居住者
hazard, [`hæ zɚd] n.危害(物)
inherent, [ɪn`hɪrənt] adj.固有的；與生俱來的
hemisphere, [`hɛməs͵fɪr] n.(地球的)半球；半球體
initiative, [ɪ`nɪʃətɪv] adj.創始的 n.倡議；進取心
inject, [ɪn`dʒɛkt] vt.注射(藥液等)
hereafter, [͵hɪr`æ ftɚ] adv.此後；來世
injection, [ɪn`dʒɛkʃən] n.注射
heritage, [`hɛrətɪdʒ] n.遺產
injustice, [ɪn`dʒʌstɪs] n.不正義
heroin, [`hɛro͵ɪn] n.海洛因
innovation, [͵ɪnə`veʃən] n.改革；創新
highlight, [`haɪ͵laɪt] vt.照亮 n.最突出(或最精彩)的部分
innovative, [`ɪno͵vetɪv] adj.創新的
inquiry, [ɪn`kwaɪrɪ] n.詢問；調查；探索
honorary, [`ɑnə͵rɛrɪ] adj.名譽上的
insight, [`ɪn͵saɪt] n.洞察力
hormone, [`hɔrmon] n.荷爾蒙
insistence, [ɪn`sɪstəns] n.堅持
hospitable, [`hɑspɪtəb!] adj.好客的
installation, [͵ɪnstə`leʃən] n.就任；安裝裝置
hospitality, [͵hɑspɪ`tæ lətɪ] n.好客；殷勤
installment, [ɪn`stɔlmənt] n.分期付款
hospitalize, [`hɑspɪt!͵aɪz] vt.使…住院治療
institution, [͵ɪnstə`tjuʃən] n.制度；公共團體；機構；建立
hostility, [hɑs`tɪlətɪ] n.敵意；敵視
humanitarian, [hju͵mænə`tɛrɪən] adj.n.人道主義的；人道主義者
intact, [ɪn`tæ kt] adj.完整無缺的
integrate, [`ɪntə͵gret] vt.vi.使結合；使完整
humiliate, [hjùmɪlɪ͵et] vt.羞辱；使丟臉
integration, [͵ɪntə`greʃən] n.整合
hunch, [hʌntʃ] n.預感；肉峰；隆起 vt.vi. 隆起
integrity, [ɪn`tɛgrətɪ] n.正直；完善
hurdle, [`hɝd!] n.vt.跳欄；跨(欄)
intellect, [`ɪnt!͵ɛkt] n.智力
hygiene, [`haɪdʒin] n.衛生(學)
intersection, [͵ɪntɚ`sɛkʃən] n.十字路口
hypocrisy, [hɪ`pɑkrəsɪ] n.偽善；虛偽
interval, [`ɪntɚv!] n.間隔；距離
hypocrite, [`hɪpəkrɪt] n.偽君子
intervene, [͵ɪntɚ`vin] vi.干涉；打擾
hysterical, [hɪs`tɛrɪk!] adj.歇斯底里的
intervention, [͵ɪntɚ`vɛnʃən] n.干涉
illuminate, [ɪ`lumə͵net] vt.vi.照亮
intimacy, [`ɪntəməsɪ] n.親密；私下
illusion, [ɪ`ljuʒən] n.幻覺；假象
intimidate, [ɪn`tɪmə͵det] vt.威嚇；脅迫
immune, [ɪ`mjun] adj.免疫的
intrude, [ɪn`trud] vi.vt.侵入
